"type","hole","numPoint","lat","lon"
"Pin","1","0",53.419735741974,-3.1066041106604
"Target","1","1",53.41950174195,-3.1058148105815
"Tee","1","0",53.418957241896,-3.1034316103432
"Pin","2","0",53.418065341807,-3.1108449110845
"Target","2","1",53.41819494182,-3.1098387109839
"Tee","2","0",53.419237141924,-3.1073583107358
"Pin","3","0",53.417677441768,-3.1127844112784
"Tee","3","0",53.417747641775,-3.1107693110769
"Pin","4","0",53.419644841964,-3.1074033107403
"Target","4","1",53.41889784189,-3.1096812109681
"Tee","4","0",53.417809741781,-3.1132425113243
"Pin","5","0",53.419993141999,-3.1028520102852
"Target","5","1",53.419751041975,-3.1040580104058
"Tee","5","0",53.41989774199,-3.1073610107361
"Pin","6","0",53.421505142151,-3.0952047095205
"Target","6","1",53.420693342069,-3.09870030987
"Target","6","2",53.421411542141,-3.0957636095764
"Tee","6","0",53.419956241996,-3.1024335102434
"Pin","7","0",53.423514842351,-3.0923535092354
"Target","7","1",53.422472642247,-3.0919665091967
"Tee","7","0",53.421708542171,-3.0953172095317
"Pin","8","0",53.421623942162,-3.0906534090653
"Target","8","1",53.422133342213,-3.090990009099
"Tee","8","0",53.423764142376,-3.0917073091707
"Pin","9","0",53.420936342094,-3.0959985095999
"Target","9","1",53.421255842126,-3.0941643094164
"Tee","9","0",53.421308942131,-3.0903015090302
"Pin","10","0",53.419234441923,-3.1005930100593
"Target","10","1",53.419693441969,-3.0982035098204
"Tee","10","0",53.420771642077,-3.0947115094712
"Pin","11","0",53.419058041906,-3.102830410283
"Target","11","1",53.418972541897,-3.1019817101982
"Tee","11","0",53.418777241878,-3.0987561098756
"Pin","12","0",53.418014041801,-3.1019133101913
"Tee","12","0",53.419049041905,-3.1031679103168
"Pin","13","0",53.41830204183,-3.0983916098392
"Target","13","1",53.418356041836,-3.0992025099203
"Tee","13","0",53.417492941749,-3.1024092102409
"Pin","14","0",53.419391941939,-3.0933354093335
"Target","14","1",53.418913141891,-3.0947394094739
"Tee","14","0",53.41840014184,-3.0978660097866
"Pin","15","0",53.418631441863,-3.0984717098472
"Target","15","1",53.4189959419,-3.0970938097094
"Tee","15","0",53.420256842026,-3.0938610093861
"Pin","16","0",53.420334242033,-3.0949041094904
"Target","16","1",53.419730341973,-3.0961812096181
"Tee","16","0",53.419012141901,-3.0992655099266
"Pin","17","0",53.419841941984,-3.1014273101427
"Target","17","1",53.420351342035,-3.0980622098062
"Target","17","2",53.419925641993,-3.1008711100871
"Tee","17","0",53.420695142069,-3.0941724094172
"Pin","18","0",53.419527841953,-3.102969910297
"Tee","18","0",53.419562041956,-3.1004328100433
